 C      0   0   0     0.000000000000     0.00000000     0.00000000
 C      1   0   0     1.393609755312     0.00000000     0.00000000
 C      2   1   0     1.427968140751   119.46110415     0.00000000
 C      3   2   1     1.412896046601   120.95608339   359.50721484
 C      4   3   2     1.440912852674   117.69578431   359.93264495
 C      1   2   3     1.392559428247   120.90119959     3.01466512
 H      1   2   3     1.094571133184   123.09202177   178.16227386
 H      2   1   3     1.051469020086   119.96615770   176.64595051
 H      3   2   1     1.130263457916   118.69130974   181.03295938
 H      6   1   2     1.086746520031   119.33517234   177.66232112
 C      5   4   3     2.364381152649    72.71714392   189.37886771
 C     11   5   4     1.388679345745   157.43231734   183.70423075
 C     12  11   5     1.404210059250   118.29100262   358.57567773
 C     13  12  11     1.385763465531   120.61185262   355.57495043
 C     14  13  12     1.414285777946   121.45525745     5.23132155
 C     15  14  13     1.410450479457   117.97087268   359.85846293
 H     12  11   5     1.091365871741   121.65358966   174.04942341
 H     14  13  12     1.099018284015   121.86680618   186.59078635
 H     15  14  13     1.063678086406   121.88533312   183.95685430
 C     11   5   4     1.476017404132    72.06597360   358.24208505
 H     13  12  11     1.102331085337   118.40914285   172.78257998
 C     20  11   5     1.363694718733   129.39791115   189.97456822
 C     22  20  11     1.475883636097   133.84956922   350.51466251
 C     22  20  11     1.535047300411   120.78894265   156.36560042
 C     23  22  20     1.419894045378   107.68225071   138.73784653
 C     23  22  20     1.436241769132   130.39774025   317.78319602
 C     25  23  22     1.515578287618   109.58716754     8.29698226
 C     25  23  22     1.400465959493   120.76512043   188.42738944
 C     26  23  22     1.452229295325   114.82904950   173.74473038
 H     27  25  23     1.107263256502   110.51793917   257.52987987
 C     28  25  23     1.379129628751   118.93343472   357.09075501
 H     28  25  23     1.093056110088   117.66197684   173.82979670
 C     29  26  23     1.465165961521   118.37017077   184.45305340
 C     26  23  22     1.431324613985   125.48714485   350.37490346
 H     34  26  23     1.087728331248   117.14072081   356.35554955
 C     34  26  23     1.380570751465   118.68276641   178.12716167
 H     36  34  26     1.090653235359   118.96836588   174.37440771
 C     33  29  26     1.367945125398   119.40222511   356.34415744
 H     38  33  29     1.093343714895   116.82366484   176.68172162
 H     33  29  26     1.087775870711   118.01014856   174.04925883
 H     31  28  25     1.081774896640   120.51704760   182.62604049
 H     27  25  23     1.107815030860   108.54404192   135.55352330
 H     24  22  20     1.110027417589   109.30178132   343.52365463
 C     24  22  20     1.522517918285   111.42693420   102.55368746
 H     44  24  22     1.095805364515   113.24774023   298.31950893
 H     44  24  22     1.123365884563   112.07065702    54.99788044
 H     44  24  22     1.091850808994   113.17425010   175.71387737
